Course Name,Course Acronym,Course Code,Prerequisites,Antirequisites,Semester,Department
Combinatorial Optimization,CMO,MTH517,MTH374/MTH574,None,Winter,MTH
Analytic Number Theory,ANNT,MTH516,MTH341,None,Winter,MTH
Coding Theory,COT,MTH514,"MTH100, MTH212",None,Winter,MTH
Abstract Algebra II,AA-II,MTH513,"MTH100, MTH212",None,Winter,MTH
Algebraic Number Theory,ANT,MTH512,None,None,Monsoon,MTH
Advanced Linear Algebra,ALA,MTH510,MTH100,None,Winter,MTH
Non-Classical Logics,NCL,MTH504A,None,None,Monsoon,MTH
Fluid Mechainics,FM,MTH375/MTH575,MTH204,None,Monsoon,MTH
Linear Optimization,LO,MTH374/MTH574,MTH100,MTH305/MTH505,Winter,MTH
Scientific Computing,SC,MTH373,MTH100,MTH270,Monsoon,MTH
Statistical Inference,SI,MTH372,MTH201,CSE609,Winter,MTH
Stochastic Processes and Applications,SPA,MTH371,MTH201,None,Monsoon,MTH
Introduction to Dynamical Systems,IDS,MTH343/MTH543,"MTH100, MTH203, MTH240",None,Winter,MTH
Complex Analysis,CmpA,MTH341 / MTH541,MTH240,None,Monsoon,MTH
Real Analysis-II,RA-II,MTH340,MTH240,None,Monsoon,MTH
